Subject,Block,Cond,Time,Signal
4,Can,Standard,0.0078125,-1.4641880711090506e-07
4,Can,Standard,0.015625,-1.473474604634254e-07
4,Can,Standard,0.0234375,-4.9256298308198705e-08
4,Can,Standard,0.03125,1.5208324448762018e-07
4,Can,Standard,0.0390625,4.4063770570749226e-07
4,Can,Standard,0.046875,6.319866003101872e-07
4,Can,Standard,0.0546875,5.401779484917481e-07
4,Can,Standard,0.0625,3.212729013093785e-07
4,Can,Standard,0.0703125,2.392563939198225e-07
4,Can,Standard,0.078125,2.153162148921456e-07
4,Can,Standard,0.0859375,3.833828513175998e-08
4,Can,Standard,0.09375,-2.0157462192751328e-07
4,Can,Standard,0.1015625,-3.1767595295278274e-07
4,Can,Standard,0.109375,-3.743042117413054e-07
4,Can,Standard,0.1171875,-4.539859205209566e-07
4,Can,Standard,0.125,-4.147300325937733e-07
4,Can,Standard,0.1328125,-1.587886692119107e-07
4,Can,Standard,0.140625,1.3976102816019998e-07
4,Can,Standard,0.1484375,3.0737394043373966e-07
4,Can,Standard,0.15625,3.616731604321733e-07
4,Can,Standard,0.1640625,3.571280858675449e-07
4,Can,Standard,0.171875,2.824820975102564e-07
4,Can,Standard,0.1796875,1.8930155026112336e-07
4,Can,Standard,0.1875,1.7404362904122173e-07
4,Can,Standard,0.1953125,1.9366585928104744e-07
4,Can,Standard,0.203125,9.302412966910841e-08
4,Can,Standard,0.2109375,-1.421298103062859e-07
4,Can,Standard,0.21875,-3.2465932322367247e-07
4,Can,Standard,0.2265625,-3.5218068650025704e-07
4,Can,Standard,0.234375,-3.8107189399337456e-07
4,Can,Standard,0.2421875,-5.892160431686342e-07
4,Can,Standard,0.25,-8.813894702849399e-07
4,Can,Standard,0.2578125,-1.0253777678836086e-06
4,Can,Standard,0.265625,-1.0138525888677447e-06
4,Can,Standard,0.2734375,-1.0532491438893054e-06
4,Can,Standard,0.28125,-1.2164754045507405e-06
4,Can,Standard,0.2890625,-1.3690711987841885e-06
4,Can,Standard,0.296875,-1.4177253156907395e-06
4,Can,Standard,0.3046875,-1.4148548555177733e-06
4,Can,Standard,0.3125,-1.404866633030313e-06
4,Can,Standard,0.3203125,-1.3799923675569333e-06
4,Can,Standard,0.328125,-1.3832133900572758e-06
4,Can,Standard,0.3359375,-1.4821562453270773e-06
4,Can,Standard,0.34375,-1.6245027863408569e-06
4,Can,Standard,0.3515625,-1.6814799680206901e-06
4,Can,Standard,0.359375,-1.6668692565366262e-06
4,Can,Standard,0.3671875,-1.7224031271677757e-06
4,Can,Standard,0.375,-1.8496806011939207e-06
4,Can,Standard,0.3828125,-1.8611568303370242e-06
4,Can,Standard,0.390625,-1.6793204738316057e-06
4,Can,Standard,0.3984375,-1.4964179582017149e-06
4,Can,Standard,0.40625,-1.4731386743880807e-06
4,Can,Standard,0.4140625,-1.465989843406189e-06
4,Can,Standard,0.421875,-1.2865736064527241e-06
4,Can,Standard,0.4296875,-1.0739160378900873e-06
4,Can,Standard,0.4375,-1.1130329446369277e-06
4,Can,Standard,0.4453125,-1.3659636604485652e-06
4,Can,Standard,0.453125,-1.5050366107192659e-06
4,Can,Standard,0.4609375,-1.382730254433171e-06
4,Can,Standard,0.46875,-1.1795487007931203e-06
4,Can,Standard,0.4765625,-1.0545318012727201e-06
4,Can,Standard,0.484375,-9.299355323230882e-07
4,Can,Standard,0.4921875,-7.182440464618137e-07
4,Can,Standard,0.5,-5.406639942697921e-07
5,Can,Standard,-0.203125,-3.866441945115184e-08
5,Can,Standard,-0.1953125,-1.1429870138913266e-07
5,Can,Standard,-0.1875,-1.4631329373772983e-07
5,Can,Standard,-0.1796875,-7.572749793473976e-08
5,Can,Standard,-0.171875,-1.5698912453242015e-08
5,Can,Standard,-0.1640625,-3.5204019007564174e-08
5,Can,Standard,-0.15625,-6.806052863250326e-08
5,Can,Standard,-0.1484375,-7.344142924376767e-08
5,Can,Standard,-0.140625,-7.814112043155446e-08
5,Can,Standard,-0.1328125,-6.122745393677122e-08
5,Can,Standard,-0.125,7.352782869448944e-09
5,Can,Standard,-0.1171875,4.700370256806927e-08
5,Can,Standard,-0.109375,-2.6953722817848892e-08
5,Can,Standard,-0.1015625,-1.3127026199842289e-07
5,Can,Standard,-0.09375,-1.2075370443394338e-07
5,Can,Standard,-0.0859375,-6.964656896591154e-09
5,Can,Standard,-0.078125,7.278805921778803e-08
5,Can,Standard,-0.0703125,5.11975461729208e-08
5,Can,Standard,-0.0625,-5.989929432167178e-09
5,Can,Standard,-0.0546875,3.773163367567935e-10
5,Can,Standard,-0.046875,8.369959080174577e-08
5,Can,Standard,-0.0390625,1.4956162570572026e-07
5,Can,Standard,-0.03125,1.221783145364392e-07
5,Can,Standard,-0.0234375,6.698893782863611e-08
5,Can,Standard,-0.015625,8.543607925982346e-08
5,Can,Standard,-0.0078125,1.3813782495562007e-07
5,Can,Standard,0.0,1.3532345774546053e-07
5,Can,Standard,0.0078125,1.239210673222672e-07
5,Can,Standard,0.015625,1.9200892942014975e-07
5,Can,Standard,0.0234375,2.9426611961193017e-07
5,Can,Standard,0.03125,3.6147641020575254e-07
5,Can,Standard,0.0390625,4.3666089752497563e-07
5,Can,Standard,0.046875,5.436628093622539e-07
5,Can,Standard,0.0546875,6.0242389328539e-07
5,Can,Standard,0.0625,5.914069622709248e-07
5,Can,Standard,0.0703125,5.776231391299533e-07
5,Can,Standard,0.078125,5.410195354589497e-07
5,Can,Standard,0.0859375,4.199100737830745e-07
5,Can,Standard,0.09375,3.1773428467877245e-07
5,Can,Standard,0.1015625,3.858275668650905e-07
5,Can,Standard,0.109375,5.41509609159123e-07
5,Can,Standard,0.1171875,5.729910953773534e-07
5,Can,Standard,0.125,4.5768806186618423e-07
5,Can,Standard,0.1328125,3.44602451175398e-07
5,Can,Standard,0.140625,3.0716972425375256e-07
5,Can,Standard,0.1484375,3.083175161509777e-07
5,Can,Standard,0.15625,3.16895013564275e-07
